player_id,signup_date,country,platform,acquisition_channel,age_group,experiment_group
P00095,2026-01-13,Australia,Android,Organic,45+,Daily_Reward
P00096,2026-01-05,Canada,iOS,Referral,35-44,Daily_Reward
P00097,2026-01-15,United Kingdom,iOS,Google Ads,18-24,Control
P00098,2026-01-08,India,iOS,Meta Ads,25-34,Free_Hint
P00099,2026-01-12,United States,iOS,Organic,25-34,Free_Hint
P00100,2026-01-07,India,iOS,TikTok Ads,35-44,Free_Hint
P00101,2026-01-10,India,iOS,Google Ads,18-24,Control
P00102,2026-01-08,Canada,Android,Organic,25-34,Free_Hint
P00103,2026-01-09,India,Android,TikTok Ads,35-44,Control
P00104,2026-01-02,India,Android,Meta Ads,35-44,Control
P00105,2026-01-10,United Kingdom,iOS,Google Ads,25-34,Free_Hint
P00106,2026-01-14,United States,Android,Referral,35-44,Control
P00107,2026-01-13,India,Android,Meta Ads,25-34,Daily_Reward
P00108,2026-01-14,Canada,Android,Meta Ads,35-44,Control
P00109,2026-01-07,United States,Android,Google Ads,18-24,Control
P00110,2026-01-15,United States,iOS,Organic,18-24,Daily_Reward
P00111,2026-01-12,United Kingdom,iOS,Referral,18-24,Free_Hint
P00112,2026-01-12,United Kingdom,iOS,Google Ads,45+,Free_Hint
P00113,2026-01-12,India,iOS,Referral,25-34,Control
P00114,2026-01-07,India,Android,Organic,18-24,Daily_Reward
P00115,2026-01-07,Australia,iOS,Meta Ads,18-24,Free_Hint
P00116,2026-01-02,India,Android,Meta Ads,25-34,Free_Hint
P00117,2026-01-01,United States,Android,Google Ads,45+,Control
P00118,2026-01-15,United Kingdom,Android,Organic,25-34,Control
P00119,2026-01-05,India,Android,Meta Ads,25-34,Free_Hint
P00120,2026-01-06,India,Android,Organic,45+,Daily_Reward
P00121,2026-01-05,Australia,Android,Referral,18-24,Daily_Reward
P00122,2026-01-06,United States,iOS,Organic,35-44,Daily_Reward
P00123,2026-01-03,India,iOS,TikTok Ads,45+,Control
P00124,2026-01-01,Australia,iOS,Google Ads,25-34,Free_Hint
P00125,2026-01-01,India,Android,Meta Ads,45+,Daily_Reward
P00126,2026-01-15,United States,Android,Meta Ads,35-44,Daily_Reward
P00127,2026-01-15,United Kingdom,Android,TikTok Ads,25-34,Daily_Reward
P00128,2026-01-09,Canada,Android,Google Ads,45+,Control
P00129,2026-01-07,India,Android,Referral,35-44,Free_Hint
P00130,2026-01-15,Canada,iOS,Google Ads,25-34,Daily_Reward
P00131,2026-01-11,India,Android,Referral,18-24,Daily_Reward
P00132,2026-01-06,Australia,Android,Google Ads,35-44,Free_Hint
P00133,2026-01-02,Australia,Android,Organic,25-34,Daily_Reward
P00134,2026-01-11,United States,iOS,Organic,25-34,Daily_Reward
P00135,2026-01-12,India,iOS,Meta Ads,35-44,Daily_Reward
P00136,2026-01-10,India,Android,Referral,18-24,Control
P00137,2026-01-05,Canada,Android,Meta Ads,25-34,Free_Hint
P00138,2026-01-10,United States,iOS,Organic,18-24,Daily_Reward
P00139,2026-01-02,United Kingdom,Android,TikTok Ads,25-34,Control
P00140,2026-01-11,India,iOS,Google Ads,45+,Free_Hint
P00141,2026-01-12,India,iOS,Google Ads,35-44,Control
P00142,2026-01-12,United States,iOS,Meta Ads,25-34,Daily_Reward
P00143,2026-01-10,India,Android,Meta Ads,25-34,Control
P00144,2026-01-08,Australia,Android,Meta Ads,18-24,Daily_Reward
P00145,2026-01-15,United Kingdom,iOS,Google Ads,25-34,Free_Hint
P00146,2026-01-11,India,iOS,Google Ads,35-44,Daily_Reward
P00147,2026-01-08,India,Android,Referral,35-44,Daily_Reward
P00148,2026-01-15,United Kingdom,iOS,Organic,18-24,Daily_Reward
P00149,2026-01-04,India,iOS,Organic,25-34,Free_Hint
P00150,2026-01-02,India,Android,Google Ads,25-34,Control
P00151,2026-01-11,India,iOS,Organic,45+,Control
P00152,2026-01-11,United States,Android,Google Ads,25-34,Control
P00153,2026-01-11,Canada,Android,Organic,18-24,Free_Hint
P00154,2026-01-08,India,iOS,Organic,25-34,Free_Hint
P00155,2026-01-10,United Kingdom,Android,Google Ads,18-24,Control
P00156,2026-01-06,United States,Android,TikTok Ads,25-34,Daily_Reward
P00157,2026-01-06,India,Android,Organic,25-34,Control
P00158,2026-01-08,India,Android,TikTok Ads,25-34,Daily_Reward
P00159,2026-01-13,India,iOS,Organic,25-34,Free_Hint
P00160,2026-01-10,India,Android,Organic,35-44,Daily_Reward
P00161,2026-01-14,India,iOS,Meta Ads,35-44,Free_Hint
P00162,2026-01-15,India,Android,Referral,35-44,Daily_Reward
P00163,2026-01-05,India,Android,Organic,35-44,Control
P00164,2026-01-11,India,Android,TikTok Ads,25-34,Control
P00165,2026-01-01,India,Android,Google Ads,18-24,Daily_Reward
P00166,2026-01-15,United States,Android,TikTok Ads,25-34,Daily_Reward
P00167,2026-01-15,India,Android,Referral,45+,Free_Hint
P00168,2026-01-12,India,iOS,Referral,45+,Control
P00169,2026-01-06,India,Android,Meta Ads,25-34,Free_Hint
P00170,2026-01-12,Canada,Android,Organic,25-34,Free_Hint
P00171,2026-01-01,Australia,Android,TikTok Ads,25-34,Control
P00172,2026-01-12,India,iOS,Referral,25-34,Control
P00173,2026-01-14,United States,Android,TikTok Ads,25-34,Control
P00174,2026-01-10,India,iOS,Meta Ads,18-24,Free_Hint
P00175,2026-01-13,United States,Android,TikTok Ads,35-44,Control
P00176,2026-01-05,United States,Android,Referral,35-44,Free_Hint
P00177,2026-01-06,Australia,iOS,Organic,45+,Free_Hint
P00178,2026-01-01,India,Android,Organic,25-34,Daily_Reward
P00179,2026-01-12,United States,iOS,Google Ads,35-44,Control
P00180,2026-01-03,Canada,Android,Organic,45+,Free_Hint
P00181,2026-01-05,India,Android,Meta Ads,45+,Daily_Reward
P00182,2026-01-07,India,Android,Referral,25-34,Daily_Reward
P00183,2026-01-04,India,Android,TikTok Ads,18-24,Daily_Reward
P00184,2026-01-14,Australia,Android,Google Ads,45+,Daily_Reward
P00185,2026-01-14,India,Android,Meta Ads,18-24,Daily_Reward
P00186,2026-01-01,India,iOS,Meta Ads,35-44,Daily_Reward
P00187,2026-01-06,United States,iOS,Organic,25-34,Daily_Reward
P00188,2026-01-04,India,Android,Organic,25-34,Control
P00189,2026-01-01,India,Android,Organic,18-24,Free_Hint
P00190,2026-01-15,United States,Android,Meta Ads,25-34,Control
P00191,2026-01-03,United Kingdom,Android,Organic,18-24,Control
P00192,2026-01-10,Canada,Android,Google Ads,25-34,Free_Hint
P00193,2026-01-15,India,Android,Organic,25-34,Control
P00194,2026-01-13,India,Android,Meta Ads,25-34,Control
P00195,2026-01-01,India,Android,Organic,45+,Daily_Reward
P00196,2026-01-11,India,Android,Organic,35-44,Free_Hint
P00197,2026-01-02,Australia,iOS,Google Ads,35-44,Daily_Reward
P00198,2026-01-02,United States,Android,Google Ads,18-24,Daily_Reward
P00199,2026-01-13,Canada,iOS,Google Ads,18-24,Control
P00200,2026-01-04,Canada,Android,Organic,25-34,Daily_Reward
P00201,2026-01-10,United States,Android,Meta Ads,45+,Free_Hint
P00202,2026-01-13,Australia,iOS,Meta Ads,35-44,Daily_Reward
P00203,2026-01-05,United States,iOS,Google Ads,25-34,Free_Hint
P00204,2026-01-15,Australia,Android,Meta Ads,35-44,Control
P00205,2026-01-05,India,iOS,Meta Ads,25-34,Free_Hint
P00206,2026-01-02,United States,Android,Google Ads,25-34,Free_Hint
P00207,2026-01-04,United Kingdom,iOS,Meta Ads,25-34,Free_Hint
P00208,2026-01-13,Canada,iOS,Meta Ads,25-34,Free_Hint
P00209,2026-01-11,United States,Android,Organic,18-24,Daily_Reward
P00210,2026-01-12,India,Android,Organic,18-24,Control
P00211,2026-01-13,United States,iOS,Organic,35-44,Free_Hint
P00212,2026-01-13,United Kingdom,iOS,TikTok Ads,25-34,Daily_Reward
P00213,2026-01-07,United States,iOS,Meta Ads,18-24,Daily_Reward
P00214,2026-01-06,United States,Android,Google Ads,18-24,Daily_Reward
P00215,2026-01-12,United States,Android,Referral,25-34,Free_Hint
P00216,2026-01-08,Australia,iOS,Google Ads,45+,Control
P00217,2026-01-13,United Kingdom,Android,Organic,45+,Daily_Reward
P00218,2026-01-02,India,Android,Google Ads,25-34,Daily_Reward
P00219,2026-01-14,India,Android,TikTok Ads,35-44,Control
P00220,2026-01-08,Australia,Android,Organic,18-24,Control
P00221,2026-01-08,India,Android,Google Ads,18-24,Free_Hint
P00222,2026-01-03,India,iOS,TikTok Ads,18-24,Daily_Reward
P00223,2026-01-03,United States,Android,Google Ads,45+,Daily_Reward
P00224,2026-01-07,United Kingdom,Android,Organic,45+,Control
P00225,2026-01-03,United States,Android,Google Ads,25-34,Daily_Reward
P00226,2026-01-08,Australia,Android,Organic,25-34,Daily_Reward
P00227,2026-01-05,United States,Android,TikTok Ads,25-34,Daily_Reward
P00228,2026-01-13,Canada,iOS,Organic,18-24,Daily_Reward
P00229,2026-01-14,India,Android,Google Ads,25-34,Control
P00230,2026-01-02,India,Android,Google Ads,25-34,Control
P00231,2026-01-10,India,Android,Organic,18-24,Free_Hint
P00232,2026-01-10,United States,Android,Meta Ads,45+,Daily_Reward
P00233,2026-01-14,United Kingdom,Android,Organic,35-44,Control
P00234,2026-01-03,India,Android,Organic,35-44,Daily_Reward
P00235,2026-01-13,India,Android,Meta Ads,18-24,Daily_Reward
P00236,2026-01-03,Australia,iOS,Organic,35-44,Daily_Reward
P00237,2026-01-01,United States,Android,TikTok Ads,25-34,Free_Hint
P00238,2026-01-07,India,Android,Google Ads,25-34,Free_Hint
P00239,2026-01-14,United States,Android,TikTok Ads,45+,Daily_Reward
P00240,2026-01-05,United States,Android,TikTok Ads,25-34,Control
P00241,2026-01-03,Australia,Android,Google Ads,45+,Free_Hint
P00242,2026-01-14,India,Android,Meta Ads,45+,Control
P00243,2026-01-02,United Kingdom,Android,Meta Ads,18-24,Daily_Reward
P00244,2026-01-13,India,Android,TikTok Ads,25-34,Free_Hint
P00245,2026-01-09,Canada,Android,Organic,25-34,Daily_Reward
P00246,2026-01-05,United States,Android,Meta Ads,25-34,Control
P00247,2026-01-01,Canada,Android,Organic,45+,Free_Hint
P00248,2026-01-06,India,Android,Referral,18-24,Control
P00249,2026-01-07,Australia,Android,Meta Ads,25-34,Daily_Reward
P00250,2026-01-01,United States,Android,Meta Ads,25-34,Control
P00251,2026-01-05,Canada,iOS,Meta Ads,25-34,Free_Hint
P00252,2026-01-13,India,Android,Meta Ads,25-34,Free_Hint
P00253,2026-01-12,United States,Android,Google Ads,18-24,Daily_Reward
P00254,2026-01-15,India,Android,Meta Ads,18-24,Daily_Reward
P00255,2026-01-09,India,Android,Meta Ads,35-44,Daily_Reward
P00256,2026-01-15,United Kingdom,Android,Google Ads,45+,Control
P00257,2026-01-14,Australia,Android,Meta Ads,25-34,Control
P00258,2026-01-15,India,iOS,Organic,45+,Free_Hint
P00259,2026-01-03,India,Android,Organic,18-24,Daily_Reward
P00260,2026-01-09,India,Android,Meta Ads,45+,Free_Hint
P00261,2026-01-03,India,iOS,Organic,18-24,Control
P00262,2026-01-14,India,Android,Meta Ads,18-24,Daily_Reward
P00263,2026-01-09,India,Android,Organic,25-34,Control
P00264,2026-01-10,Canada,Android,Referral,25-34,Control
P00265,2026-01-13,India,iOS,Google Ads,18-24,Daily_Reward
P00266,2026-01-15,India,Android,Organic,25-34,Daily_Reward
P00267,2026-01-07,India,Android,Organic,25-34,Free_Hint
P00268,2026-01-12,India,iOS,TikTok Ads,25-34,Control
P00269,2026-01-07,Canada,Android,Google Ads,35-44,Control
P00270,2026-01-15,United States,Android,Organic,25-34,Control
P00271,2026-01-08,Australia,Android,TikTok Ads,25-34,Daily_Reward
P00272,2026-01-06,India,iOS,Google Ads,25-34,Free_Hint
P00273,2026-01-11,India,Android,Organic,18-24,Daily_Reward
P00274,2026-01-06,United States,Android,Meta Ads,45+,Control
P00275,2026-01-15,Canada,iOS,Referral,45+,Control
P00276,2026-01-11,Australia,Android,Organic,25-34,Daily_Reward
P00277,2026-01-03,India,iOS,TikTok Ads,18-24,Daily_Reward
P00278,2026-01-04,India,Android,Google Ads,35-44,Control
P00279,2026-01-11,India,Android,Meta Ads,18-24,Control
P00280,2026-01-15,Australia,Android,Organic,18-24,Control
P00281,2026-01-06,India,Android,Meta Ads,25-34,Control
P00282,2026-01-13,United States,Android,Organic,18-24,Free_Hint
P00283,2026-01-09,India,Android,Organic,18-24,Control
P00284,2026-01-08,United States,Android,Google Ads,35-44,Daily_Reward
P00285,2026-01-06,Australia,Android,Meta Ads,35-44,Control
P00286,2026-01-07,India,iOS,Google Ads,35-44,Control
P00287,2026-01-10,India,Android,Meta Ads,25-34,Free_Hint
P00288,2026-01-14,Canada,iOS,Referral,35-44,Control
P00289,2026-01-11,India,iOS,Google Ads,25-34,Control
P00290,2026-01-04,United States,iOS,TikTok Ads,25-34,Control
P00291,2026-01-07,United States,iOS,Organic,35-44,Free_Hint
P00292,2026-01-08,India,iOS,Organic,25-34,Daily_Reward
P00293,2026-01-11,United States,Android,Referral,18-24,Free_Hint
P00294,2026-01-07,India,iOS,Organic,35-44,Control
P00295,2026-01-02,Canada,Android,Google Ads,18-24,Free_Hint
P00296,2026-01-06,Australia,Android,Referral,18-24,Free_Hint
P00297,2026-01-04,India,iOS,Google Ads,18-24,Free_Hint
P00298,2026-01-01,United Kingdom,Android,TikTok Ads,25-34,Control
P00299,2026-01-08,Australia,Android,Meta Ads,25-34,Control
P00300,2026-01-10,India,iOS,Organic,25-34,Daily_Reward
P00301,2026-01-03,Australia,Android,Google Ads,18-24,Daily_Reward
P00302,2026-01-08,United Kingdom,Android,Meta Ads,25-34,Daily_Reward
P00303,2026-01-08,United States,iOS,Organic,18-24,Control
P00304,2026-01-01,Australia,Android,Meta Ads,35-44,Daily_Reward
P00305,2026-01-01,United Kingdom,iOS,Google Ads,25-34,Free_Hint
P00306,2026-01-01,Canada,Android,Organic,45+,Daily_Reward
P00307,2026-01-01,United States,iOS,Meta Ads,18-24,Daily_Reward
P00308,2026-01-07,Canada,Android,Google Ads,35-44,Daily_Reward
P00309,2026-01-03,Australia,Android,Meta Ads,18-24,Daily_Reward
P00310,2026-01-15,United Kingdom,iOS,Organic,18-24,Control
P00311,2026-01-15,India,Android,Organic,18-24,Daily_Reward
P00312,2026-01-14,India,iOS,Referral,18-24,Daily_Reward
P00313,2026-01-05,India,Android,TikTok Ads,35-44,Control
P00314,2026-01-12,United States,Android,Meta Ads,18-24,Free_Hint
P00315,2026-01-15,India,Android,Organic,18-24,Control
P00316,2026-01-13,India,iOS,Google Ads,18-24,Control
P00317,2026-01-07,Canada,iOS,Google Ads,25-34,Daily_Reward
P00318,2026-01-07,United States,Android,Google Ads,45+,Daily_Reward
P00319,2026-01-02,United Kingdom,Android,Organic,25-34,Free_Hint
P00320,2026-01-13,Australia,iOS,Organic,35-44,Free_Hint
P00321,2026-01-13,United States,Android,TikTok Ads,18-24,Daily_Reward
P00322,2026-01-10,Canada,Android,Google Ads,18-24,Control
P00323,2026-01-01,United States,iOS,TikTok Ads,25-34,Free_Hint
P00324,2026-01-11,Canada,iOS,Google Ads,25-34,Control
P00325,2026-01-03,India,Android,Meta Ads,18-24,Free_Hint
P00326,2026-01-10,India,Android,Organic,18-24,Daily_Reward
P00327,2026-01-10,India,iOS,Meta Ads,25-34,Control
P00328,2026-01-01,India,iOS,Referral,35-44,Free_Hint
P00329,2026-01-05,Australia,Android,TikTok Ads,25-34,Free_Hint
P00330,2026-01-01,Australia,Android,Google Ads,18-24,Free_Hint
P00331,2026-01-05,United Kingdom,Android,Organic,25-34,Daily_Reward
P00332,2026-01-09,India,Android,Google Ads,35-44,Control
P00333,2026-01-10,United States,Android,Referral,35-44,Free_Hint
P00334,2026-01-12,United States,Android,Google Ads,18-24,Free_Hint
P00335,2026-01-15,India,iOS,Google Ads,18-24,Free_Hint
P00336,2026-01-07,United Kingdom,Android,Organic,18-24,Free_Hint
P00337,2026-01-14,India,iOS,Google Ads,25-34,Free_Hint
P00338,2026-01-09,India,Android,Google Ads,18-24,Daily_Reward
P00339,2026-01-08,United States,iOS,Google Ads,25-34,Control
P00340,2026-01-02,United States,Android,Organic,45+,Free_Hint
P00341,2026-01-11,United Kingdom,Android,Meta Ads,18-24,Daily_Reward
P00342,2026-01-10,United States,iOS,Referral,18-24,Daily_Reward
P00343,2026-01-02,India,Android,Meta Ads,25-34,Daily_Reward
P00344,2026-01-01,India,Android,Organic,25-34,Free_Hint
P00345,2026-01-02,United Kingdom,Android,Meta Ads,25-34,Control
P00346,2026-01-09,India,iOS,Referral,25-34,Control
P00347,2026-01-08,United States,Android,Meta Ads,25-34,Control
P00348,2026-01-12,United Kingdom,Android,TikTok Ads,25-34,Control
P00349,2026-01-03,India,iOS,Google Ads,25-34,Daily_Reward
P00350,2026-01-08,United States,iOS,Organic,35-44,Control
P00351,2026-01-04,United States,iOS,Google Ads,25-34,Control
P00352,2026-01-11,Australia,Android,Organic,35-44,Control
P00353,2026-01-03,Australia,Android,Meta Ads,25-34,Control
P00354,2026-01-12,Australia,Android,Organic,35-44,Free_Hint
P00355,2026-01-10,India,Android,TikTok Ads,35-44,Control
P00356,2026-01-05,United States,iOS,Meta Ads,18-24,Daily_Reward
P00357,2026-01-03,United States,Android,Organic,45+,Control
P00358,2026-01-13,United Kingdom,Android,Organic,45+,Daily_Reward
P00359,2026-01-12,India,Android,Meta Ads,25-34,Daily_Reward
P00360,2026-01-10,Australia,iOS,Referral,45+,Free_Hint
P00361,2026-01-09,United States,Android,Google Ads,18-24,Control
P00362,2026-01-10,India,Android,Organic,25-34,Control
P00363,2026-01-04,Australia,iOS,Referral,25-34,Control
P00364,2026-01-14,Australia,Android,Google Ads,18-24,Daily_Reward
P00365,2026-01-11,India,Android,Google Ads,18-24,Daily_Reward
P00366,2026-01-12,Canada,Android,Organic,18-24,Free_Hint
P00367,2026-01-03,Australia,Android,TikTok Ads,25-34,Control
P00368,2026-01-05,India,Android,Organic,35-44,Free_Hint
P00369,2026-01-04,Australia,Android,Meta Ads,25-34,Daily_Reward
P00370,2026-01-07,United Kingdom,Android,Meta Ads,25-34,Free_Hint
P00371,2026-01-15,United States,iOS,TikTok Ads,25-34,Control
P00372,2026-01-02,India,iOS,Organic,45+,Daily_Reward
P00373,2026-01-08,India,Android,Google Ads,45+,Control
P00374,2026-01-05,United States,Android,TikTok Ads,25-34,Free_Hint
P00375,2026-01-15,India,Android,Meta Ads,35-44,Daily_Reward
P00376,2026-01-06,United States,Android,Google Ads,25-34,Free_Hint
P00377,2026-01-08,Australia,iOS,Meta Ads,25-34,Daily_Reward
P00378,2026-01-01,India,iOS,Meta Ads,18-24,Daily_Reward
P00379,2026-01-09,Canada,Android,Referral,35-44,Control
P00380,2026-01-09,Australia,iOS,TikTok Ads,25-34,Daily_Reward
P00381,2026-01-05,India,Android,TikTok Ads,18-24,Daily_Reward
P00382,2026-01-08,India,Android,TikTok Ads,25-34,Control
P00383,2026-01-02,United Kingdom,Android,Google Ads,35-44,Free_Hint
P00384,2026-01-07,India,Android,TikTok Ads,35-44,Daily_Reward
P00385,2026-01-15,India,Android,TikTok Ads,25-34,Control
P00386,2026-01-14,United States,iOS,Meta Ads,35-44,Free_Hint
P00387,2026-01-09,Canada,iOS,Referral,25-34,Free_Hint
P00388,2026-01-10,India,Android,Meta Ads,45+,Control
P00389,2026-01-11,Canada,Android,TikTok Ads,25-34,Free_Hint
P00390,2026-01-10,Canada,iOS,Meta Ads,25-34,Control
P00391,2026-01-07,India,Android,Organic,35-44,Daily_Reward
P00392,2026-01-10,United Kingdom,iOS,Organic,18-24,Daily_Reward
P00393,2026-01-03,India,Android,TikTok Ads,18-24,Free_Hint
P00394,2026-01-05,United States,iOS,TikTok Ads,35-44,Daily_Reward
P00395,2026-01-09,United States,Android,Referral,25-34,Daily_Reward
P00396,2026-01-07,Canada,Android,Meta Ads,18-24,Free_Hint
P00397,2026-01-09,Australia,Android,Organic,25-34,Free_Hint
P00398,2026-01-02,Australia,Android,TikTok Ads,45+,Daily_Reward
P00399,2026-01-09,Canada,iOS,Meta Ads,18-24,Daily_Reward
P00400,2026-01-12,Australia,Android,Referral,25-34,Daily_Reward
P00401,2026-01-05,India,Android,Organic,25-34,Free_Hint
P00402,2026-01-02,India,Android,TikTok Ads,35-44,Free_Hint
P00403,2026-01-12,United States,Android,Organic,25-34,Control
P00404,2026-01-05,India,Android,Google Ads,25-34,Control
P00405,2026-01-09,India,Android,Organic,35-44,Control
P00406,2026-01-01,United States,iOS,Google Ads,45+,Daily_Reward
P00407,2026-01-04,Australia,Android,Meta Ads,35-44,Control
P00408,2026-01-13,Canada,Android,Meta Ads,35-44,Free_Hint
P00409,2026-01-07,Canada,Android,Google Ads,25-34,Daily_Reward
P00410,2026-01-01,India,Android,Meta Ads,35-44,Free_Hint
P00411,2026-01-13,India,Android,Organic,35-44,Daily_Reward
P00412,2026-01-08,India,Android,Organic,35-44,Control
P00413,2026-01-15,Australia,Android,TikTok Ads,35-44,Daily_Reward
P00414,2026-01-07,India,Android,Meta Ads,45+,Free_Hint
P00415,2026-01-02,India,Android,Google Ads,35-44,Daily_Reward
P00416,2026-01-14,India,Android,Meta Ads,45+,Daily_Reward
P00417,2026-01-08,India,iOS,Organic,35-44,Free_Hint
P00418,2026-01-06,United Kingdom,Android,Google Ads,35-44,Control
P00419,2026-01-03,India,Android,Organic,18-24,Control
P00420,2026-01-15,Australia,Android,Meta Ads,25-34,Daily_Reward
