transaction_id,player_id,transaction_date,transaction_type,amount
T000084,P01114,2026-01-17,In-App Purchase,4.99
T000085,P01117,2026-01-11,In-App Purchase,9.39
T000086,P01127,2026-01-14,In-App Purchase,1.99
T000087,P01127,2026-01-24,In-App Purchase,1.99
T000088,P01127,2026-01-14,In-App Purchase,7.99
T000089,P01147,2026-01-14,In-App Purchase,4.99
T000090,P01147,2026-01-15,In-App Purchase,1.99
T000091,P01153,2026-01-08,In-App Purchase,4.69
T000092,P01190,2026-01-08,In-App Purchase,4.99
T000093,P01196,2026-01-20,In-App Purchase,3.14
T000094,P01196,2026-01-12,In-App Purchase,3.14
T000095,P01202,2026-01-19,In-App Purchase,5.24
T000096,P01240,2026-01-13,In-App Purchase,1.99
T000097,P01269,2026-01-24,In-App Purchase,7.99
T000098,P01304,2026-01-06,In-App Purchase,4.99
T000099,P01311,2026-01-10,In-App Purchase,8.39
T000100,P01314,2026-01-08,In-App Purchase,2.99
T000101,P01366,2026-01-21,In-App Purchase,2.09
T000102,P01368,2026-01-11,In-App Purchase,4.69
T000103,P01421,2026-01-02,In-App Purchase,4.69
T000104,P01428,2026-01-10,In-App Purchase,2.99
T000105,P01434,2026-01-08,In-App Purchase,4.69
T000106,P01434,2026-01-09,In-App Purchase,14.09
T000107,P01474,2026-01-10,In-App Purchase,1.99
T000108,P01487,2026-01-10,In-App Purchase,2.09
T000109,P01499,2026-01-25,In-App Purchase,2.09
T000110,P01501,2026-01-11,In-App Purchase,1.87
T000111,P01501,2026-01-06,In-App Purchase,4.69
T000112,P01524,2026-01-08,In-App Purchase,7.51
T000113,P01524,2026-01-08,In-App Purchase,4.69
T000114,P01524,2026-01-20,In-App Purchase,1.87
T000115,P01566,2026-01-12,In-App Purchase,7.99
T000116,P01566,2026-01-12,In-App Purchase,2.99
T000117,P01607,2026-01-07,In-App Purchase,3.14
T000118,P01607,2026-01-05,In-App Purchase,8.39
T000119,P01607,2026-01-07,In-App Purchase,15.74
T000120,P01630,2026-01-14,In-App Purchase,2.81
T000121,P01631,2026-01-10,In-App Purchase,4.99
T000122,P01631,2026-01-05,In-App Purchase,2.99
T000123,P01631,2026-01-10,In-App Purchase,4.99
T000124,P01634,2026-01-11,In-App Purchase,2.81
T000125,P01653,2026-01-23,In-App Purchase,2.09
T000126,P01653,2026-01-10,In-App Purchase,10.49
T000127,P01654,2026-01-21,In-App Purchase,3.14
T000128,P01669,2026-01-30,In-App Purchase,2.81
T000129,P01669,2026-01-15,In-App Purchase,2.81
T000130,P01680,2026-01-17,In-App Purchase,5.24
T000131,P01680,2026-01-17,In-App Purchase,15.74
T000132,P01685,2026-01-02,In-App Purchase,2.81
T000133,P01685,2026-01-02,In-App Purchase,1.87
T000134,P01692,2026-02-02,In-App Purchase,3.14
T000135,P01714,2026-01-06,In-App Purchase,14.09
T000136,P01753,2026-01-14,In-App Purchase,4.69
T000137,P01782,2026-01-14,In-App Purchase,2.09
T000138,P01796,2026-01-22,In-App Purchase,3.14
T000139,P01797,2026-01-27,In-App Purchase,2.99
T000140,P01827,2026-01-04,In-App Purchase,3.14
T000141,P01827,2026-01-01,In-App Purchase,3.14
T000142,P01897,2026-01-15,In-App Purchase,4.99
T000143,P01900,2026-01-18,In-App Purchase,2.99
T000144,P01904,2026-01-12,In-App Purchase,7.51
T000145,P01904,2026-01-10,In-App Purchase,4.69
T000146,P01909,2026-01-29,In-App Purchase,2.09
T000147,P01920,2026-01-15,In-App Purchase,3.14
T000148,P01920,2026-01-15,In-App Purchase,5.24
T000149,P01957,2026-01-21,In-App Purchase,10.49
T000150,P01968,2026-01-04,In-App Purchase,1.87
T000151,P01987,2026-02-02,In-App Purchase,2.09
T000152,P01987,2026-02-02,In-App Purchase,8.39
T000153,P01987,2026-01-19,In-App Purchase,3.14
T000154,P02012,2026-01-09,In-App Purchase,14.09
T000155,P02027,2026-01-18,In-App Purchase,2.09
T000156,P02029,2026-01-28,In-App Purchase,9.99
T000157,P02039,2026-01-28,In-App Purchase,7.99
T000158,P02040,2026-01-10,In-App Purchase,4.69
T000159,P02042,2026-01-09,In-App Purchase,1.87
T000160,P02042,2026-01-09,In-App Purchase,2.81
T000161,P02079,2026-01-23,In-App Purchase,2.99
T000162,P02091,2026-01-15,In-App Purchase,9.39
T000163,P02093,2026-01-02,In-App Purchase,7.51
T000164,P02109,2026-01-26,In-App Purchase,4.99
T000165,P02109,2026-01-26,In-App Purchase,1.99
T000166,P02116,2026-01-08,In-App Purchase,8.39
T000167,P02116,2026-01-27,In-App Purchase,3.14
T000168,P02117,2026-01-23,In-App Purchase,4.69
T000169,P02156,2026-01-12,In-App Purchase,5.24
T000170,P02162,2026-01-03,In-App Purchase,7.51
T000171,P02180,2026-01-08,In-App Purchase,5.24
T000172,P02180,2026-01-08,In-App Purchase,3.14
T000173,P02187,2026-01-12,In-App Purchase,3.14
T000174,P02213,2026-01-05,In-App Purchase,4.69
T000175,P02213,2026-01-23,In-App Purchase,1.87
T000176,P02213,2026-01-23,In-App Purchase,1.87
T000177,P02225,2026-01-10,In-App Purchase,2.09
T000178,P02246,2026-01-06,In-App Purchase,7.99
T000179,P02246,2026-01-06,In-App Purchase,7.99
T000180,P02253,2026-01-21,In-App Purchase,14.09
T000181,P02297,2026-01-31,In-App Purchase,1.99
T000182,P02320,2026-01-03,In-App Purchase,7.99
T000183,P02333,2026-01-08,In-App Purchase,5.24
T000184,P02345,2026-01-31,In-App Purchase,1.99
T000185,P02345,2026-01-20,In-App Purchase,2.99
T000186,P02349,2026-01-19,In-App Purchase,8.39
T000187,P02421,2026-01-23,In-App Purchase,8.39
T000188,P02430,2026-01-14,In-App Purchase,8.39
T000189,P02430,2026-01-28,In-App Purchase,3.14
T000190,P02441,2026-01-14,In-App Purchase,10.49
T000191,P02441,2026-01-01,In-App Purchase,8.39
T000192,P02461,2026-01-09,In-App Purchase,2.81
T000193,P02461,2026-01-04,In-App Purchase,4.69
T000194,P02476,2026-01-20,In-App Purchase,4.69
T000195,P02476,2026-01-24,In-App Purchase,7.51
T000196,P02476,2026-01-05,In-App Purchase,2.81
T000197,P02497,2026-01-20,In-App Purchase,2.09
T000198,P02500,2026-01-29,In-App Purchase,2.99
T000199,P02503,2026-01-18,In-App Purchase,2.81
T000200,P02503,2026-01-18,In-App Purchase,14.09
T000201,P02520,2026-01-13,In-App Purchase,2.09
T000202,P02544,2026-01-16,In-App Purchase,2.99
T000203,P02587,2026-01-23,In-App Purchase,15.74
T000204,P02589,2026-01-06,In-App Purchase,1.87
T000205,P02589,2026-01-01,In-App Purchase,4.69
T000206,P02608,2026-01-23,In-App Purchase,5.24
T000207,P02608,2026-01-23,In-App Purchase,5.24
T000208,P02631,2026-01-16,In-App Purchase,1.99
T000209,P02635,2026-01-11,In-App Purchase,4.69
T000210,P02639,2026-01-21,In-App Purchase,7.51
T000211,P02663,2026-01-04,In-App Purchase,7.51
T000212,P02663,2026-01-02,In-App Purchase,7.51
T000213,P02684,2026-01-13,In-App Purchase,5.24
T000214,P02692,2026-01-07,In-App Purchase,2.81
T000215,P02723,2026-01-09,In-App Purchase,3.14
T000216,P02724,2026-01-06,In-App Purchase,2.99
T000217,P02757,2026-01-08,In-App Purchase,4.69
T000218,P02766,2026-01-13,In-App Purchase,3.14
T000219,P02781,2026-01-09,In-App Purchase,4.69
T000220,P02788,2026-01-14,In-App Purchase,1.87
T000221,P02788,2026-01-19,In-App Purchase,4.69
T000222,P02820,2026-01-24,In-App Purchase,1.99
T000223,P02820,2026-01-24,In-App Purchase,4.99
T000224,P02820,2026-01-09,In-App Purchase,1.99
T000225,P02832,2026-01-19,In-App Purchase,2.81
T000226,P02841,2026-01-15,In-App Purchase,15.74
T000227,P02841,2026-01-14,In-App Purchase,3.14
T000228,P02841,2026-01-15,In-App Purchase,3.14
T000229,P02846,2026-01-11,In-App Purchase,1.99
T000230,P02848,2026-01-14,In-App Purchase,1.99
T000231,P02872,2026-01-11,In-App Purchase,3.14
T000232,P02892,2026-01-06,In-App Purchase,4.69
T000233,P02902,2026-01-26,In-App Purchase,2.99
T000234,P02943,2026-01-18,In-App Purchase,3.14
T000235,P02945,2026-01-04,In-App Purchase,2.81
T000236,P02945,2026-01-07,In-App Purchase,7.51
T000237,P02947,2026-01-08,In-App Purchase,2.09
T000238,P02961,2026-01-07,In-App Purchase,1.87
T000239,P02965,2026-01-05,In-App Purchase,4.69
T000240,P02965,2026-01-05,In-App Purchase,2.81
T000241,P02969,2026-01-05,In-App Purchase,1.99
T000242,P02969,2026-01-11,In-App Purchase,2.99
T000243,P02978,2026-01-30,In-App Purchase,2.81
T000244,P02986,2026-01-13,In-App Purchase,2.81
T000245,P02986,2026-01-13,In-App Purchase,1.87
T000246,P03000,2026-01-19,In-App Purchase,2.09
T000247,P03000,2026-01-28,In-App Purchase,5.24
T000248,P03012,2026-01-07,In-App Purchase,1.99
T000249,P03012,2026-01-15,In-App Purchase,4.99
T000250,P03063,2026-01-09,In-App Purchase,5.24
T000251,P03088,2026-01-06,In-App Purchase,5.24
T000252,P03098,2026-01-07,In-App Purchase,4.99
T000253,P03109,2026-01-06,In-App Purchase,3.14
T000254,P03125,2026-01-16,In-App Purchase,5.24
T000255,P03134,2026-01-17,In-App Purchase,3.14
T000256,P03134,2026-01-10,In-App Purchase,5.24
T000257,P03141,2026-01-14,In-App Purchase,10.49
T000258,P03163,2026-01-04,In-App Purchase,7.51
T000259,P03167,2026-01-11,In-App Purchase,8.39
T000260,P03171,2026-01-01,In-App Purchase,2.09
T000261,P03171,2026-01-01,In-App Purchase,8.39
T000262,P03183,2026-01-11,In-App Purchase,5.24
T000263,P03197,2026-01-09,In-App Purchase,7.99
T000264,P03209,2026-01-11,In-App Purchase,5.24
T000265,P03209,2026-01-11,In-App Purchase,5.24
T000266,P03215,2026-01-13,In-App Purchase,4.69
T000267,P03215,2026-01-16,In-App Purchase,2.81
T000268,P03224,2026-01-10,In-App Purchase,5.24
T000269,P03226,2026-01-17,In-App Purchase,2.81
T000270,P03244,2026-01-12,In-App Purchase,1.99
T000271,P03244,2026-01-12,In-App Purchase,4.99
T000272,P03254,2026-01-15,In-App Purchase,5.24
T000273,P03266,2026-01-09,In-App Purchase,3.14
T000274,P03334,2026-01-12,In-App Purchase,5.24
T000275,P03348,2026-01-20,In-App Purchase,4.99
T000276,P03348,2026-01-10,In-App Purchase,7.99
T000277,P03360,2026-01-19,In-App Purchase,5.24
T000278,P03368,2026-01-21,In-App Purchase,7.99
T000279,P03372,2026-01-13,In-App Purchase,2.99
T000280,P03392,2026-01-11,In-App Purchase,5.24
T000281,P03392,2026-01-14,In-App Purchase,2.09
T000282,P03417,2026-01-10,In-App Purchase,4.69
T000283,P03419,2026-02-02,In-App Purchase,5.24
T000284,P03478,2026-01-30,In-App Purchase,10.49
T000285,P03478,2026-01-18,In-App Purchase,8.39
T000286,P03524,2026-01-11,In-App Purchase,5.24
T000287,P03530,2026-02-01,In-App Purchase,8.39
T000288,P03534,2026-01-03,In-App Purchase,8.39
T000289,P03534,2026-01-09,In-App Purchase,3.14
T000290,P03536,2026-01-07,In-App Purchase,1.99
T000291,P03540,2026-01-10,In-App Purchase,7.99
T000292,P03600,2026-01-17,In-App Purchase,2.81
T000293,P03600,2026-01-26,In-App Purchase,7.51
T000294,P03617,2026-01-17,In-App Purchase,7.99
T000295,P03653,2026-01-05,In-App Purchase,2.99
T000296,P03655,2026-01-07,In-App Purchase,2.99
T000297,P03676,2026-01-01,In-App Purchase,7.51
T000298,P03709,2026-01-25,In-App Purchase,8.39
T000299,P03726,2026-01-28,In-App Purchase,5.24
T000300,P03738,2026-01-09,In-App Purchase,14.09
T000301,P03756,2026-01-09,In-App Purchase,9.99
T000302,P03781,2026-01-06,In-App Purchase,7.99
T000303,P03785,2026-01-03,In-App Purchase,2.99
T000304,P03786,2026-01-17,In-App Purchase,7.99
T000305,P03796,2026-01-22,In-App Purchase,2.81
T000306,P03796,2026-01-15,In-App Purchase,4.69
T000307,P03798,2026-01-02,In-App Purchase,9.99
T000308,P03800,2026-01-19,In-App Purchase,4.69
T000309,P03818,2026-01-02,In-App Purchase,4.99
T000310,P03838,2026-01-12,In-App Purchase,4.69
T000311,P03848,2026-01-18,In-App Purchase,15.74
T000312,P03867,2026-01-02,In-App Purchase,9.39
T000313,P03867,2026-01-02,In-App Purchase,1.87
T000314,P03873,2026-01-14,In-App Purchase,8.39
T000315,P03873,2026-01-19,In-App Purchase,15.74
T000316,P03873,2026-01-14,In-App Purchase,8.39
T000317,P03882,2026-01-05,In-App Purchase,7.99
T000318,P03883,2026-01-09,In-App Purchase,2.99
T000319,P03891,2026-01-19,In-App Purchase,7.51
T000320,P03891,2026-01-19,In-App Purchase,2.81
T000321,P03891,2026-01-06,In-App Purchase,4.69
T000322,P03936,2026-01-06,In-App Purchase,1.99
T000323,P03949,2026-01-20,In-App Purchase,4.69
T000324,P03949,2026-01-12,In-App Purchase,4.69
T000325,P03966,2026-01-22,In-App Purchase,4.99
T000326,P03967,2026-01-16,In-App Purchase,4.99
T000327,P03967,2026-01-15,In-App Purchase,4.99
T000328,P03969,2026-01-07,In-App Purchase,8.39
T000329,P04005,2026-01-18,In-App Purchase,1.87
T000330,P04028,2026-01-07,In-App Purchase,4.69
T000331,P04032,2026-01-17,In-App Purchase,3.14
T000332,P04033,2026-01-10,In-App Purchase,3.14
T000333,P04053,2026-01-18,In-App Purchase,3.14
T000334,P04060,2026-01-04,In-App Purchase,5.24
T000335,P04073,2026-01-16,In-App Purchase,10.49
T000336,P04096,2026-01-27,In-App Purchase,2.09
T000337,P04128,2026-01-24,In-App Purchase,3.14
T000338,P04134,2026-01-18,In-App Purchase,5.24
T000339,P04184,2026-01-17,In-App Purchase,4.69
T000340,P04202,2026-01-10,In-App Purchase,14.99
T000341,P04227,2026-01-14,In-App Purchase,2.99
T000342,P04228,2026-01-24,In-App Purchase,2.81
T000343,P04275,2026-01-24,In-App Purchase,5.24
T000344,P04279,2026-01-09,In-App Purchase,5.24
T000345,P04279,2026-01-06,In-App Purchase,2.09
T000346,P04312,2026-01-14,In-App Purchase,15.74
T000347,P04312,2026-01-14,In-App Purchase,15.74
T000348,P04312,2026-01-17,In-App Purchase,8.39
T000349,P04321,2026-01-10,In-App Purchase,7.99
T000350,P04321,2026-01-10,In-App Purchase,4.99
T000351,P04345,2026-01-12,In-App Purchase,2.99
T000352,P04352,2026-01-15,In-App Purchase,3.14
T000353,P04373,2026-01-14,In-App Purchase,5.24
T000354,P04415,2026-01-03,In-App Purchase,7.51
T000355,P04498,2026-01-15,In-App Purchase,3.14
T000356,P04507,2026-01-09,In-App Purchase,7.51
T000357,P04517,2026-01-21,In-App Purchase,3.14
T000358,P04544,2026-01-08,In-App Purchase,8.39
T000359,P04561,2026-01-29,In-App Purchase,4.99
T000360,P04578,2026-01-28,In-App Purchase,4.99
T000361,P04593,2026-01-15,In-App Purchase,2.99
T000362,P04597,2026-01-10,In-App Purchase,9.99
T000363,P04619,2026-01-20,In-App Purchase,14.99
T000364,P04619,2026-01-10,In-App Purchase,2.99
T000365,P04621,2026-01-07,In-App Purchase,2.81
T000366,P04628,2026-01-07,In-App Purchase,7.99
T000367,P04633,2026-01-20,In-App Purchase,2.81
T000368,P04644,2026-01-18,In-App Purchase,4.69
T000369,P04660,2026-01-11,In-App Purchase,5.24
T000370,P04676,2026-01-20,In-App Purchase,2.99
T000371,P04676,2026-01-14,In-App Purchase,7.99
T000372,P04685,2026-01-06,In-App Purchase,2.81
T000373,P04685,2026-01-15,In-App Purchase,4.69
T000374,P04687,2026-01-09,In-App Purchase,14.99
T000375,P04691,2026-01-24,In-App Purchase,15.74
T000376,P04693,2026-01-24,In-App Purchase,1.99
T000377,P04693,2026-01-13,In-App Purchase,1.99
T000378,P04693,2026-01-14,In-App Purchase,7.99
T000379,P04697,2026-01-12,In-App Purchase,2.09
T000380,P04697,2026-01-20,In-App Purchase,5.24
T000381,P04783,2026-01-17,In-App Purchase,10.49
T000382,P04783,2026-01-17,In-App Purchase,3.14
T000383,P04783,2026-01-17,In-App Purchase,5.24
T000384,P04793,2026-01-11,In-App Purchase,4.99
T000385,P04793,2026-01-11,In-App Purchase,1.99
T000386,P04793,2026-01-24,In-App Purchase,2.99
T000387,P04809,2026-01-22,In-App Purchase,2.09
T000388,P04809,2026-01-14,In-App Purchase,8.39
T000389,P04886,2026-01-17,In-App Purchase,1.99
T000390,P04917,2026-01-11,In-App Purchase,2.99
T000391,P04917,2026-01-09,In-App Purchase,4.99
T000392,P04919,2026-01-20,In-App Purchase,2.81
T000393,P04919,2026-01-15,In-App Purchase,4.69
T000394,P04941,2026-01-03,In-App Purchase,5.24
T000395,P04941,2026-01-03,In-App Purchase,5.24
T000396,P04951,2026-01-14,In-App Purchase,1.99
T000397,P04959,2026-01-03,In-App Purchase,4.99
T000398,P04968,2026-01-18,In-App Purchase,1.99
T000399,P04973,2026-01-12,In-App Purchase,5.24
T000400,P04977,2026-01-06,In-App Purchase,5.24
T000401,P05012,2026-01-01,In-App Purchase,9.99
T000402,P05032,2026-01-03,In-App Purchase,5.24
T000403,P05042,2026-01-02,In-App Purchase,1.87
T000404,P05042,2026-01-20,In-App Purchase,1.87
T000405,P05044,2026-01-07,In-App Purchase,4.69
T000406,P05105,2026-01-12,In-App Purchase,1.87
T000407,P05114,2026-01-14,In-App Purchase,15.74
T000408,P05114,2026-01-20,In-App Purchase,8.39
T000409,P05143,2026-01-21,In-App Purchase,5.24
T000410,P05143,2026-01-05,In-App Purchase,2.09
T000411,P05144,2026-01-18,In-App Purchase,1.87
T000412,P05144,2026-01-14,In-App Purchase,1.87
T000413,P05156,2026-01-12,In-App Purchase,4.69
T000414,P05166,2026-01-10,In-App Purchase,4.69
T000415,P05166,2026-01-16,In-App Purchase,1.87
T000416,P05201,2026-01-09,In-App Purchase,2.09
T000417,P05206,2026-01-11,In-App Purchase,2.09
T000418,P05227,2026-01-18,In-App Purchase,2.99
T000419,P05232,2026-01-06,In-App Purchase,7.51
T000420,P05232,2026-01-01,In-App Purchase,1.87
T000421,P05254,2026-01-14,In-App Purchase,2.81
T000422,P05265,2026-01-15,In-App Purchase,8.39
T000423,P05298,2026-01-09,In-App Purchase,1.87
T000424,P05300,2026-01-03,In-App Purchase,7.99
T000425,P05343,2026-01-26,In-App Purchase,2.99
T000426,P05370,2026-01-12,In-App Purchase,3.14
T000427,P05370,2026-01-26,In-App Purchase,2.09
T000428,P05408,2026-01-21,In-App Purchase,2.09
T000429,P05408,2026-01-23,In-App Purchase,10.49
T000430,P05447,2026-01-04,In-App Purchase,14.99
T000431,P05461,2026-01-15,In-App Purchase,9.39
T000432,P05477,2026-01-10,In-App Purchase,4.99
T000433,P05480,2026-01-15,In-App Purchase,2.09
T000434,P05495,2026-01-21,In-App Purchase,3.14
T000435,P05495,2026-01-21,In-App Purchase,8.39
T000436,P05538,2026-01-18,In-App Purchase,2.09
T000437,P05542,2026-01-21,In-App Purchase,10.49
T000438,P05578,2026-01-13,In-App Purchase,7.99
T000439,P05581,2026-01-22,In-App Purchase,5.24
T000440,P05585,2026-01-31,In-App Purchase,9.39
T000441,P05613,2026-01-09,In-App Purchase,4.69
T000442,P05613,2026-01-10,In-App Purchase,9.39
T000443,P05613,2026-01-17,In-App Purchase,9.39
T000444,P05620,2026-01-10,In-App Purchase,1.87
T000445,P05621,2026-01-09,In-App Purchase,7.51
T000446,P05621,2026-01-03,In-App Purchase,1.87
T000447,P05623,2026-01-21,In-App Purchase,7.51
T000448,P05632,2026-01-02,In-App Purchase,4.99
T000449,P05632,2026-01-09,In-App Purchase,14.99
T000450,P05645,2026-01-08,In-App Purchase,9.99
T000451,P05666,2026-01-21,In-App Purchase,2.81
T000452,P05679,2026-01-05,In-App Purchase,10.49
T000453,P05698,2026-01-05,In-App Purchase,5.24
T000454,P05698,2026-01-05,In-App Purchase,2.09
T000455,P05702,2026-01-06,In-App Purchase,9.99
T000456,P05715,2026-01-18,In-App Purchase,3.14
T000457,P05736,2026-01-21,In-App Purchase,2.99
T000458,P05736,2026-01-09,In-App Purchase,4.99
T000459,P05738,2026-02-02,In-App Purchase,5.24
T000460,P05747,2026-01-25,In-App Purchase,2.81
T000461,P05747,2026-02-02,In-App Purchase,1.87
T000462,P05756,2026-01-15,In-App Purchase,9.99
T000463,P05762,2026-01-09,In-App Purchase,2.09
T000464,P05762,2026-01-08,In-App Purchase,8.39
T000465,P05779,2026-01-07,In-App Purchase,2.09
T000466,P05785,2026-01-14,In-App Purchase,5.24
T000467,P05785,2026-01-03,In-App Purchase,2.09
T000468,P05785,2026-01-14,In-App Purchase,15.74
T000469,P05785,2026-01-05,In-App Purchase,15.74
T000470,P05790,2026-01-18,In-App Purchase,9.39
T000471,P05801,2026-01-17,In-App Purchase,1.87
T000472,P05802,2026-01-07,In-App Purchase,2.81
T000473,P05805,2026-01-19,In-App Purchase,10.49
T000474,P05815,2026-01-14,In-App Purchase,2.81
T000475,P05850,2026-01-14,In-App Purchase,3.14
T000476,P05850,2026-01-30,In-App Purchase,5.24
T000477,P05913,2026-01-07,In-App Purchase,4.69
T000478,P05925,2026-01-14,In-App Purchase,3.14
T000479,P05940,2026-01-20,In-App Purchase,8.39
T000480,P05943,2026-01-08,In-App Purchase,5.24
T000481,P05947,2026-01-12,In-App Purchase,9.99
T000482,P05948,2026-01-22,In-App Purchase,4.99
T000483,P05959,2026-01-02,In-App Purchase,4.99
T000484,P05968,2026-01-08,In-App Purchase,2.09
T000485,P05975,2026-01-17,In-App Purchase,2.99
T000486,P05975,2026-01-05,In-App Purchase,9.99
T000487,P05981,2026-01-08,In-App Purchase,2.81
T000488,P05990,2026-01-22,In-App Purchase,1.99
T000489,P05992,2026-01-11,In-App Purchase,4.99
T000490,P06005,2026-01-29,In-App Purchase,2.99
T000491,P06017,2026-01-16,In-App Purchase,7.51
T000492,P06029,2026-01-09,In-App Purchase,4.99
T000493,P06063,2026-01-10,In-App Purchase,8.39
T000494,P06080,2026-01-14,In-App Purchase,5.24
T000495,P06084,2026-01-03,In-App Purchase,7.51
T000496,P06084,2026-01-03,In-App Purchase,4.69
T000497,P06131,2026-01-07,In-App Purchase,3.14
T000498,P06131,2026-01-07,In-App Purchase,2.09
T000499,P06151,2026-01-16,In-App Purchase,9.99
T000500,P06152,2026-01-08,In-App Purchase,5.24
T000501,P06152,2026-01-23,In-App Purchase,3.14
T000502,P06161,2026-01-05,In-App Purchase,2.99
T000503,P06161,2026-01-21,In-App Purchase,4.99
T000504,P06172,2026-01-10,In-App Purchase,3.14
T000505,P06179,2026-01-17,In-App Purchase,1.87
T000506,P06199,2026-01-09,In-App Purchase,4.99
T000507,P06199,2026-01-05,In-App Purchase,2.99
T000508,P06201,2026-01-15,In-App Purchase,2.81
T000509,P06216,2026-01-15,In-App Purchase,4.69
T000510,P06242,2026-01-11,In-App Purchase,4.99
T000511,P06260,2026-01-25,In-App Purchase,4.69
T000512,P06273,2026-01-18,In-App Purchase,1.99
T000513,P06292,2026-01-05,In-App Purchase,2.81
T000514,P06292,2026-01-05,In-App Purchase,2.81
T000515,P06318,2026-01-17,In-App Purchase,4.99
T000516,P06319,2026-01-02,In-App Purchase,4.99
